scenario_id,entity_code,month,account_code,posting_type,revenue_type,source_module,reference_id,description,amount
DEMO,ACPLHK,2026-01,CASH_RECEIPT_SERVICES,cash_receipt,MAA_BASE,maa_revenue,MAA_BASE|cash|DEMO|2026-01|ACPLHK,MAA cash receipt,0.09908630136986299
DEMO,ACPLSZ,2026-01,CASH_RECEIPT_SERVICES,cash_receipt,MAA_BASE,maa_revenue,MAA_BASE|cash|DEMO|2026-01|ACPLSZ,MAA cash receipt,0.24336986301369862
DEMO,旭智私募,2026-01,CASH_RECEIPT_SERVICES,cash_receipt,ANNUAL_PREPAID,fund_demo,ANNUAL_PREPAID|DEMO|2026-01,Annual prepaid cash receipt,120000.0
DEMO,ACPLHK,2026-04,CASH_RECEIPT_SERVICES,cash_receipt,MAA_BASE,maa_revenue,MAA_BASE|cash|DEMO|2026-04|ACPLHK,MAA cash receipt,0.30056178082191776
DEMO,ACPLSZ,2026-04,CASH_RECEIPT_SERVICES,cash_receipt,MAA_BASE,maa_revenue,MAA_BASE|cash|DEMO|2026-04|ACPLSZ,MAA cash receipt,0.7382219178082192
DEMO,ACPLHK,2026-07,CASH_RECEIPT_SERVICES,cash_receipt,MAA_BASE,maa_revenue,MAA_BASE|cash|DEMO|2026-07|ACPLHK,MAA cash receipt,0.5057071232876712
DEMO,ACPLSZ,2026-07,CASH_RECEIPT_SERVICES,cash_receipt,MAA_BASE,maa_revenue,MAA_BASE|cash|DEMO|2026-07|ACPLSZ,MAA cash receipt,1.2420876712328766
DEMO,ACPLHK,2026-10,CASH_RECEIPT_SERVICES,cash_receipt,MAA_BASE,maa_revenue,MAA_BASE|cash|DEMO|2026-10|ACPLHK,MAA cash receipt,-284.2909824657534
DEMO,ACPLSZ,2026-10,CASH_RECEIPT_SERVICES,cash_receipt,MAA_BASE,maa_revenue,MAA_BASE|cash|DEMO|2026-10|ACPLSZ,MAA cash receipt,-698.2585534246575
DEMO,ACPLHK,2026-12,CASH_RECEIPT_SERVICES,cash_receipt,MAA_INCENTIVE_1,maa_revenue,MAA_INCENTIVE_1|cash|DEMO|2026-12|ACPLHK,MAA cash receipt,1329.3727397260272
DEMO,ACPLSZ,2026-12,CASH_RECEIPT_SERVICES,cash_receipt,MAA_INCENTIVE_1,maa_revenue,MAA_INCENTIVE_1|cash|DEMO|2026-12|ACPLSZ,MAA cash receipt,3265.12602739726
